latitude,longitude,altitude,geometry,Name,description
46.230203,15.654831,,Point,Rogaška Slatina,3250
46.80476,16.034546,,Point,Rogašovci,9262
46.229253,15.700836,,Point,Rogatec,3252
45.986943,14.17511,,Point,Rovte,1373
46.539499,15.501709,,Point,Ruše,2342
46.089186,14.895401,,Point,Sava,1282
45.475059,13.617897,,Point,Sečovlje,6333
46.224265,14.202919,,Point,Selca,4227
46.55225,15.489349,,Point,Selnica ob Dravi,2352
45.654368,15.181046,,Point,Semič,8333
46.022714,15.47699,,Point,Senovo,8281
45.721042,14.036751,,Point,Senožeče,6224
46.01127,15.308075,,Point,Sevnica,8290
45.708097,13.869553,,Point,Sežana,6210
46.697964,15.736542,,Point,Sladki Vrh,2214
46.122749,13.801575,,Point,Slap ob Idrijci,5283
46.50879,15.082855,,Point,Slovenj Gradec,2380
46.395253,15.573807,,Point,Slovenska Bistrica,2310
46.337684,15.426865,,Point,Slovenske Konjice,3210
46.164614,14.434319,,Point,Smlednik,1216
46.343254,13.667164,,Point,Soča,5232
45.762014,14.635506,,Point,Sodražica,1317
46.419872,14.692841,,Point,Solčava ,3335
45.969527,13.643646,,Point,Solkan,5250
46.217852,14.027138,,Point,Spodnja Sorica,4229
46.085853,14.039497,,Point,Sovodenj,4225
46.035586,14.025421,,Point,Spodnja Idrija,5281
46.502646,15.758514,,Point,Spodnji Duplek,2241
46.595203,15.980644,,Point,Spodnji Ivanci,9245
46.392885,16.269379,,Point,Središče ob Dravi,2277
46.29002,13.924484,,Point,Srednja vas v Bohinju,4267
45.991476,15.590973,,Point,Sromlje,8256
46.291443,13.499451,,Point,Srpenica,5224
46.263917,14.614563,,Point,Stahovnica,1242
45.673083,14.845963,,Point,Stara Cerkev,1332
45.494435,15.080109,,Point,Stari trg ob Kolpi,8342
45.715289,14.470367,,Point,Stari trg pri Ložu,1386
46.46766,15.766754,,Point,Starše,2205
46.290257,15.715256,,Point,Stoperce,2289
45.771355,15.209885,,Point,Stopiče,8322
46.365647,15.362663,,Point,Stranice,3206
45.785243,15.078735,,Point,Straža,8351
45.783447,14.774723,,Point,Struge,1313
45.533289,13.599014,,Point,Strunjan,6323
45.973345,15.34893,,Point,Studenec,8293
45.688435,15.273399,,Point,Suhor,8331
46.648022,15.841599,,Point,Sveta Ana v Slovenskih Goricah,2233
46.614898,15.461712,,Point,Sveti Duh na Ostrem Vrhu,2353
46.567358,16.022186,,Point,Sveti Jurij ob Ščavnici,9244
46.583406,15.873871,,Point,Sveta Trojica v Slovenskih goricah,2235
46.187437,15.501022,,Point,Sveti Štefan,3264
46.482319,16.077118,,Point,Sveti Tomaž,2258
46.822617,16.283112,,Point,Šalovci,9204
45.927991,13.745613,,Point,Šempas,5261
